日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1995-11-15,600879,0.41,0.41,0.44,0.34,430667308,174826266.2,0.0,0.0,0.0,0.0
1995-11-16,600879,0.38,0.4,0.45,0.38,499282661,201852616.5,15.84,-0.41,-0.0,0.0
1995-11-17,600879,0.39,0.37,0.4,0.37,225597173,83580330.1,7.38,-8.36,-0.03,0.0
1995-11-20,600879,0.36,0.38,0.39,0.36,110370004,42060732.2,7.07,2.86,0.01,0.0
1995-11-21,600879,0.39,0.39,0.4,0.38,90506879,35630891.6,5.3,3.3,0.01,0.0
1995-11-22,600879,0.4,0.38,0.4,0.38,103777021,39169930.3,5.64,-4.12,-0.02,0.0
1995-11-23,600879,0.38,0.38,0.39,0.37,81795887,30683627.7,4.65,-0.61,-0.0,0.0
1995-11-24,600879,0.38,0.38,0.38,0.37,36310281,13656939.6,4.24,0.26,0.0,0.0
1995-11-27,600879,0.37,0.35,0.38,0.35,47359229,16635609.1,7.75,-6.61,-0.02,0.0
1995-11-28,600879,0.35,0.36,0.36,0.34,63260591,22514688.8,5.19,1.32,0.0,0.0
1995-11-29,600879,0.36,0.34,0.36,0.34,31647674,10791600.0,5.03,-4.19,-0.01,0.0
1995-11-30,600879,0.34,0.34,0.36,0.33,56222283,19320382.8,10.3,0.78,0.0,0.0
1995-12-01,600879,0.33,0.33,0.34,0.32,43796629,14600453.5,5.79,-2.99,-0.01,0.0
1995-12-04,600879,0.33,0.34,0.34,0.33,15849769,5383633.9,2.19,1.89,0.01,0.0
1995-12-05,600879,0.34,0.34,0.34,0.34,20495812,6975312.9,2.05,0.19,0.0,0.0
1995-12-06,600879,0.34,0.33,0.34,0.32,26543000,8646324.3,4.48,-4.28,-0.01,0.0
1995-12-07,600879,0.32,0.33,0.34,0.32,16229924,5378298.5,4.58,1.73,0.01,0.0
1995-12-08,600879,0.33,0.33,0.34,0.33,43878091,14656711.3,4.5,0.8,0.0,0.0
1995-12-11,600879,0.34,0.3,0.34,0.3,37401870,11377964.1,9.92,-8.93,-0.03,0.0
1995-12-12,600879,0.3,0.29,0.3,0.29,45124458,13263660.3,5.99,-3.38,-0.01,0.0
1995-12-13,600879,0.29,0.29,0.31,0.29,37806464,10837019.0,7.78,-2.48,-0.01,0.0
1995-12-14,600879,0.28,0.28,0.29,0.28,17394829,4916966.6,4.05,-1.39,-0.0,0.0
1995-12-15,600879,0.28,0.27,0.28,0.26,31582776,8372762.5,6.45,-6.21,-0.02,0.0
1995-12-18,600879,0.26,0.26,0.27,0.26,19469392,5090468.5,5.62,-1.38,-0.0,0.0
1995-12-19,600879,0.26,0.27,0.27,0.26,18942605,5021785.7,4.06,1.39,0.0,0.0
1995-12-20,600879,0.27,0.27,0.27,0.26,14720164,3985312.2,2.62,2.12,0.01,0.0
1995-12-21,600879,0.27,0.26,0.27,0.26,16183762,4252858.4,4.53,-2.94,-0.01,0.0
1995-12-22,600879,0.26,0.26,0.27,0.26,11752235,3037684.9,3.15,-1.64,-0.0,0.0
1995-12-25,600879,0.25,0.25,0.26,0.25,14578963,3613739.0,4.49,-4.1,-0.01,0.0
1995-12-26,600879,0.25,0.25,0.25,0.25,9981797,2464298.1,2.54,-0.4,-0.0,0.0
1995-12-27,600879,0.25,0.25,0.25,0.24,12010198,2980987.9,4.56,0.54,0.0,0.0
1995-12-28,600879,0.25,0.23,0.25,0.23,10856155,2539850.7,6.81,-5.74,-0.01,0.0
1995-12-29,600879,0.23,0.23,0.24,0.23,17514307,4004699.6,3.97,-2.27,-0.01,0.0
1996-01-01,600879,0.23,0.23,0.24,0.23,0,0.0,4.06,0.0,0.0,0.0
1996-01-02,600879,0.22,0.22,0.23,0.22,8447598,1867185.1,1.88,-3.33,-0.01,0.0
1996-01-03,600879,0.22,0.23,0.23,0.22,9981797,2265832.4,3.75,2.7,0.01,0.0
1996-01-04,600879,0.22,0.24,0.24,0.22,20221557,4757735.0,5.26,3.65,0.01,0.0
1996-01-05,600879,0.23,0.22,0.24,0.22,26819970,5892509.1,8.17,-6.62,-0.02,0.0
1996-01-08,600879,0.22,0.22,0.22,0.21,11040801,2444020.6,5.73,0.75,0.0,0.0
1996-01-09,600879,0.22,0.24,0.25,0.22,69668926,16991990.5,12.72,10.18,0.02,0.0
1996-01-10,600879,0.24,0.24,0.25,0.23,74553925,17985785.1,7.34,-1.09,-0.0,0.0
1996-01-11,600879,0.24,0.24,0.25,0.24,35112791,8482455.2,4.53,0.14,0.0,0.0
1996-01-12,600879,0.24,0.24,0.25,0.23,33461830,8083620.5,5.08,0.0,0.0,0.0
1996-01-15,600879,0.24,0.25,0.25,0.24,26860701,6604641.1,2.74,1.78,0.0,0.0
1996-01-16,600879,0.25,0.24,0.25,0.24,16601933,4005138.5,3.37,-1.89,-0.0,0.0
1996-01-17,600879,0.24,0.23,0.24,0.23,26855270,6229540.5,6.18,-3.85,-0.01,0.0
1996-01-18,600879,0.23,0.21,0.23,0.21,35612424,7623627.7,5.71,-7.71,-0.02,0.0
1996-01-19,600879,0.21,0.22,0.22,0.21,16542195,3617971.7,4.49,2.17,0.0,0.0
1996-01-22,600879,0.22,0.21,0.22,0.21,15352851,3291701.9,4.7,-1.97,-0.0,0.0
1996-01-23,600879,0.21,0.22,0.22,0.21,11961321,2576440.0,4.64,0.46,0.0,0.0
1996-01-24,600879,0.22,0.22,0.22,0.22,8083735,1743894.2,1.69,0.15,0.0,0.0
1996-01-25,600879,0.22,0.21,0.23,0.21,26385507,5595954.8,7.37,-1.69,-0.0,0.0
1996-01-26,600879,0.21,0.22,0.22,0.21,13389619,2928466.4,5.78,3.12,0.01,0.0
1996-01-29,600879,0.22,0.22,0.22,0.22,10223467,2239377.2,2.73,0.15,0.0,0.0
1996-01-30,600879,0.22,0.22,0.22,0.22,7616687,1673432.1,3.63,0.3,0.0,0.0
1996-01-31,600879,0.22,0.22,0.22,0.22,16300524,3619136.6,3.62,1.06,0.0,0.0
1996-02-01,600879,0.22,0.23,0.23,0.22,25418826,5753127.7,3.13,1.94,0.0,0.0
1996-02-02,600879,0.23,0.23,0.23,0.22,18470126,4223250.5,3.95,1.02,0.0,0.0
1996-02-05,600879,0.23,0.22,0.24,0.21,49800370,10858896.6,9.86,-4.64,-0.01,0.0
1996-02-06,600879,0.22,0.21,0.22,0.21,17375821,3713926.0,2.74,-1.98,-0.0,0.0
1996-02-07,600879,0.21,0.22,0.22,0.21,6269850,1350510.7,1.55,0.78,0.0,0.0
1996-02-08,600879,0.22,0.22,0.22,0.21,4659620,1002128.1,2.31,-0.15,-0.0,0.0
1996-02-09,600879,0.21,0.22,0.22,0.21,5960295,1315439.2,3.39,2.62,0.01,0.0
1996-02-12,600879,0.22,0.22,0.22,0.22,3823278,829862.0,0.9,-1.65,-0.0,0.0
1996-02-13,600879,0.22,0.22,0.22,0.22,6669013,1463008.0,2.75,1.07,0.0,0.0
1996-02-14,600879,0.22,0.22,0.22,0.22,4700351,1023348.1,2.72,-0.76,-0.0,0.0
1996-02-15,600879,0.22,0.22,0.22,0.22,8051150,1760880.7,3.2,0.46,0.0,0.0
1996-02-16,600879,0.22,0.23,0.23,0.22,19105529,4317891.0,3.18,3.33,0.01,0.0
1996-02-19,600879,0.22,0.23,0.23,0.22,0,0.0,3.08,0.0,0.0,0.0
1996-02-20,600879,0.22,0.23,0.23,0.22,0,0.0,3.08,0.0,0.0,0.0
1996-02-21,600879,0.22,0.23,0.23,0.22,0,0.0,3.08,0.0,0.0,0.0
1996-02-22,600879,0.22,0.23,0.23,0.22,0,0.0,3.08,0.0,0.0,0.0
1996-02-23,600879,0.22,0.23,0.23,0.22,0,0.0,3.08,0.0,0.0,0.0
1996-02-26,600879,0.22,0.23,0.23,0.22,0,0.0,3.08,0.0,0.0,0.0
1996-02-27,600879,0.22,0.23,0.23,0.22,0,0.0,3.08,0.0,0.0,0.0
1996-02-28,600879,0.22,0.23,0.23,0.22,0,0.0,3.08,0.0,0.0,0.0
1996-02-29,600879,0.22,0.23,0.23,0.22,0,0.0,3.08,0.0,0.0,0.0
1996-03-01,600879,0.22,0.23,0.23,0.22,0,0.0,3.08,0.0,0.0,0.0
1996-03-04,600879,0.26,0.25,0.26,0.24,77717361,19753393.9,10.12,12.46,0.03,0.0
1996-03-05,600879,0.25,0.24,0.26,0.24,50419481,12196901.3,5.74,-4.82,-0.01,0.0
1996-03-06,600879,0.24,0.23,0.25,0.23,32383818,7393934.7,7.67,-5.62,-0.01,0.0
1996-03-07,600879,0.23,0.24,0.24,0.23,16667103,3954586.1,3.92,3.92,0.01,0.0
1996-03-08,600879,0.23,0.23,0.24,0.23,11241741,2618892.1,3.77,-1.82,-0.0,0.0
