序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
13,688387,信科移动-U,11.11,15.49,1.49,2180344.0,2296644328.0,15.7,11.11,9.6,9.67,9.62,1.06,10.81,-172.63,6.24,37982312500.0,22406394692.0,0.54,1.37,68.84,86.41,688387.SS
27,688033,天宜新材,7.89,11.91,0.84,698065.0,529437127.0,17.02,8.19,6.99,7.02,7.05,2.47,12.42,-8.97,1.35,4435746922.0,4435746922.0,-0.25,-0.75,25.64,37.22,688033.SS
37,002228,合兴包装,6.55,10.08,0.6,138354.0,90621666.95,0.0,6.55,6.55,6.55,5.95,0.11,1.14,37.34,2.49,7947675870.0,7921057194.0,0.0,0.0,101.54,131.45,002228.SZ
38,002297,博云新材,12.39,10.04,1.13,237919.0,294326978.94,2.58,12.39,12.1,12.3,11.26,0.47,4.15,177.3,3.37,7100768707.0,7100768707.0,0.0,0.0,49.46,80.09,002297.SZ
39,002763,汇洁股份,7.89,10.04,0.72,105020.0,82861095.6,0.0,7.89,7.89,7.89,7.17,2.57,3.46,19.88,1.73,3234300360.0,2395397688.0,0.0,0.0,14.02,27.46,002763.SZ
40,600376,首开股份,5.92,10.04,0.54,3131315.0,1818303745.0,7.43,5.92,5.52,5.58,5.38,2.56,12.14,-3.69,2.34,15271026233.0,15271026233.0,0.0,0.0,-16.62,125.1,600376.SS
41,002800,天顺股份,16.34,10.03,1.49,114878.0,183869745.66,8.15,16.34,15.13,15.66,14.85,1.4,8.2,-147.22,4.96,2487815115.0,2288926808.0,0.0,0.0,14.99,58.79,002800.SZ
42,000551,创元科技,16.68,10.03,1.52,1322426.0,2166040578.27,10.03,16.68,15.16,15.18,15.16,4.25,27.38,27.75,2.87,8085347207.0,8056145681.0,0.0,0.0,41.48,68.83,000551.SZ
43,002115,三维通信,12.4,10.03,1.13,1425193.0,1699883642.1,10.47,12.4,11.22,11.26,11.27,0.84,18.95,2625.45,4.85,10056292517.0,9327224597.0,0.0,0.0,10.42,86.47,002115.SZ
44,002446,盛路通信,10.75,10.03,0.98,1169043.0,1220896695.17,9.62,10.75,9.81,9.83,9.77,1.07,13.79,87.79,3.87,9840719033.0,9113605932.0,0.0,0.0,24.57,64.12,002446.SZ
45,002363,隆基机械,10.31,10.03,0.94,43718.0,45072948.7,0.0,10.31,10.31,10.31,9.37,0.22,1.05,77.75,2.02,4298190553.0,4286466702.0,0.0,0.0,30.51,58.37,002363.SZ
